Artist,Listeners,Daily Trend,Peak,PkListeners
Black Sabbath,"13,980,721","-12,286",465,"16,595,839"
Manoj Muntashir,"13,956,013","-87,893",593,"14,501,084"
Bradley Cooper,"13,955,458","-54,044",457,"15,474,144"
Dave,"13,924,902","-36,758",135,"29,100,809"
Noriel,"13,919,153","22,634",614,"14,106,226"
Shania Twain,"13,909,633","16,948",352,"17,682,454"
Fred again..,"13,834,851","-45,273",397,"18,388,836"
Taio Cruz,"13,833,068","-61,832",520,"14,270,300"
Malachiii,"13,802,362","-86,217",262,"23,766,421"
WALK THE MOON,"13,796,139","-79,953",410,"18,076,284"
NF,"13,787,714","5,792",275,"19,447,227"
AURORA,"13,781,207","4,121",473,"13,781,207"
Isabel LaRosa,"13,768,953","-65,250",323,"21,221,325"
Bernadya,"13,765,714","-3,787",505,"16,108,630"
Lil Tjay,"13,759,728","-38,103",268,"19,548,091"
Devi Sri Prasad,"13,728,282","28,756",550,"14,747,871"
Bring Me The Horizon,"13,720,298","-6,261",475,"15,125,559"
LUDMILLA,"13,692,882","26,856",327,"19,760,775"
The Fray,"13,692,166","-9,225",624,"13,885,763"
Shekhar Ravjiani,"13,636,930","-49,798",392,"15,805,465"
Orso,"13,633,558","-85,501",265,"23,709,586"
Jhené Aiko,"13,615,064","34,002",557,"13,720,267"
John Newman,"13,611,357","3,019",532,"15,591,878"
Ram Sampath,"13,576,981","-8,742",472,"16,606,741"
Three Days Grace,"13,557,434","26,242",595,"14,219,993"
Ms. Lauryn Hill,"13,554,498","9,480",486,"16,319,683"
Tinashe,"13,548,548","-16,432",377,"19,002,563"
Depeche Mode,"13,546,491","-104,463",418,"16,717,329"
KHEA,"13,512,270","-20,954",458,"16,911,588"
Cults,"13,500,670","-16,947",463,"16,570,191"
Jorge & Mateus,"13,484,836","25,495",539,"14,036,621"
Russ,"13,481,891","6,934",365,"17,041,050"
Beach House,"13,470,651","17,536",521,"14,184,562"
LE SSERAFIM,"13,460,526","-31,607",476,"16,058,007"
D-Block Europe,"13,459,480","-69,757",227,"23,915,073"
Lyanno,"13,452,913","16,121",416,"15,200,027"
SOG,"13,436,920","154,462",663,"13,436,920"
Nate Ruess,"13,435,711","-2,551",573,"14,920,728"
Scorpions,"13,427,798","-23,298",514,"14,150,775"
Sukhwinder Singh,"13,424,180","-16,202",600,"13,862,340"
Ndotz,"13,423,751","-155,561",542,"15,420,353"
Gucci Mane,"13,416,066","-61,827",401,"16,561,931"
Becky Hill,"13,405,040","-44,528",257,"20,058,164"
Shaan,"13,379,209","-9,014",652,"13,514,828"
The Clash,"13,373,428","-11,062",507,"16,396,253"
Flo Milli,"13,367,570","-41,554",262,"22,109,344"
La Oreja de Van Gogh,"13,336,198","-96,278",462,"17,350,078"
Tony Dize,"13,277,366","-26,374",481,"15,601,281"
Milky Chance,"13,244,496","-47,105",417,"16,426,763"
MC Kevin o Chris,"13,242,894","13,058",317,"19,054,899"
Tammi Terrell,"13,215,328","154,291",445,"16,282,284"
Pablo Alborán,"13,210,246","-4,322",519,"14,229,540"
MAGIC!,"13,209,494","-39,521",549,"14,945,320"
The Doors,"13,205,212","-217,279",576,"14,836,797"
Survivor,"13,197,871","10,481",598,"13,878,844"
24kGoldn,"13,193,653","-15,968",393,"15,117,675"
DFZM,"13,189,479","293,587",682,"13,189,479"
Vicente Fernández,"13,173,885","72,438",677,"13,173,885"
Joan Sebastian,"13,171,680","6,578",641,"13,315,367"
DJ Nelson,"13,162,567","-36,469",453,"16,878,140"
Xavi,"13,147,425","-32,390",129,"31,501,727"
Gusttavo Lima,"13,132,123","-7,862",508,"15,115,981"
Hans Zimmer,"13,126,573","10,514",562,"14,296,237"
6LACK,"13,120,324","5,002",321,"16,978,376"
Brray,"13,081,723","4,143",405,"16,966,488"
Alejandro Sanz,"13,019,677","-27,546",432,"14,395,340"
K. S. Chithra,"12,978,396","3,415",639,"13,034,863"
Lenny Kravitz,"12,974,168","-8,725",580,"14,476,610"
Zerb,"12,970,068","-48,352",369,"18,649,657"
Yuvan Shankar Raja,"12,934,665","-30,616",663,"13,133,325"
Meek Mill,"12,933,600","-65,965",393,"15,553,179"
G. V. Prakash,"12,933,195","45,966",698,"12,933,195"
Santana,"12,925,299","-21,826",344,"13,727,300"
Bing Crosby,"12,902,520","598,381",84,"38,245,848"
Ofenbach,"12,901,606","-65,210",392,"18,344,823"
KATSEYE,"12,900,511","-66,145",618,"14,033,481"
Papa Roach,"12,893,821",39,611,"13,649,696"
Robbie Williams,"12,879,518","80,016",392,"18,700,740"
aespa,"12,875,273","-32,810",619,"13,739,202"
Tracy Chapman,"12,872,325","77,232",348,"19,175,912"
Dei V,"12,870,334","-19,399",436,"17,283,052"
Louis Armstrong,"12,852,218","330,347",331,"20,774,856"
Ella Henderson,"12,841,732","-31,192",364,"17,142,204"
Jeet Gannguli,"12,807,521","49,675",708,"12,807,521"
X Ambassadors,"12,784,910","-40,358",398,"14,934,403"
Irshad Kamil,"12,773,392","61,409",550,"15,018,915"
Shubh,"12,771,598","-28,938",551,"13,540,727"
Imanbek,"12,752,171","-83,741",280,"18,669,813"
iann dior,"12,722,735","-17,932",438,"14,436,905"
DJ Luian,"12,715,901","-24,899",293,"19,413,064"
Morad,"12,679,470","-16,665",575,"14,075,005"
Mary J. Blige,"12,658,389","-2,815",692,"12,721,109"
Roop Kumar Rathod,"12,653,982","43,154",699,"12,824,072"
Dalex,"12,651,416","-34,635",355,"18,038,673"
Alfredo Olivas,"12,638,245","-18,857",582,"13,862,718"
Kailash Kher,"12,634,139","1,895",716,"12,723,814"
Sixpence None The Richer,"12,627,459","-53,639",664,"13,190,880"
AP Dhillon,"12,626,474","-41,127",394,"16,784,298"
The Jackson 5,"12,621,678","275,571",150,"31,031,521"
James Blunt,"12,616,769","107,016",553,"12,616,769"
Electric Light Orchestra,"12,607,945","-205,297",522,"14,986,263"
Chief Keef,"12,592,137","-37,918",436,"15,873,183"
Los Enanitos Verdes,"12,567,233","-46,744",543,"15,265,491"
Mambo Kingz,"12,564,618","-29,945",298,"19,318,210"
Montell Fish,"12,551,822","7,252",614,"13,623,841"
Yan Block,"12,528,018","27,872",732,"12,528,018"
